legal_code,region_group,weight,true_share,base_share,area_share,type_area_share,hist_share,true_grade,base_grade,area_grade,type_area_grade,quantile_grade,hist_grade
2811012300,수도권(경기·인천),80.75,0.0,0.0,0.0,0.0,0.0,D,D,D,D,D,D
3014011800,지방,268.51666666666665,0.0,0.0,0.0,0.0,0.0,D,D,D,D,D,D
4122010100,수도권(경기·인천),80.75,0.014334213504337986,0.0008801710046523325,0.0003772161448509996,0.0003772161448509996,0.01417254928957626,D,D,D,D,D,D
4136025625,수도권(경기·인천),80.75,0.3333333333333333,0.057777777777777775,0.35555555555555557,0.35555555555555557,0.3333333333333333,C,D,C,C,C,C
4139012000,수도권(경기·인천),80.75,0.0,0.0,0.0,0.0,0.0,D,D,D,D,D,D
4145010800,수도권(경기·인천),80.75,0.4763215859030837,0.5859030837004405,0.3838105726872247,0.4008810572687225,0.4776676441629956,C,B,C,C,C,C
4145011400,수도권(경기·인천),80.75,1.0,1.0,1.0,1.0,1.0,A,A,A,A,A,A
4150035025,수도권(경기·인천),80.75,0.029900332225913623,0.0,0.0,0.0,0.030744080398671093,D,D,D,D,D,D
4155013000,수도권(경기·인천),80.75,0.0,0.0,0.0,0.0,0.0,D,D,D,D,D,D
4155025026,수도권(경기·인천),80.75,0.0,0.0,0.0,0.0,0.0,D,D,D,D,D,D
4159011700,수도권(경기·인천),80.75,0.03357531760435572,0.06352087114337568,0.0009074410163339383,0.0009074410163339383,0.033921009346642474,D,D,D,D,D,D
4161033021,수도권(경기·인천),80.75,0.038314176245210725,0.03065134099616858,0.0,0.0,0.044152525670498086,D,D,D,D,D,D
4380025027,지방,268.51666666666665,0.0,0.0,0.0,0.0,0.0,D,D,D,D,D,D
4611016400,지방,234.95208333333332,0.0,0.0,0.0,0.0,0.0,D,D,D,D,D,D
4711310900,지방,234.95208333333332,0.0,0.0,0.0,0.0,0.0,D,D,D,D,D,D
4728010900,지방,234.95208333333332,0.0,0.0,0.0,0.0,0.0,D,D,D,D,D,D
4817012600,지방,234.95208333333332,0.0,0.0,0.0,0.0,0.0,D,D,D,D,D,D
4817040022,지방,234.95208333333332,0.0,0.0,0.0,0.0,0.0,D,D,D,D,D,D
4874025022,지방,268.51666666666665,0.0,0.0,0.0,0.0,0.0,D,D,D,D,D,D
5011012900,지방,234.95208333333332,0.29288472145615,0.007722007722007722,0.007722007722007722,0.24931053502482073,0.29575639718698293,C,D,D,D,C,C
5218010600,지방,268.51666666666665,0.0,0.0,0.0,0.0,0.0,D,D,D,D,D,D
1111010900,서울,28.214583333333334,0.6727438468550593,0.7283500455788514,0.7283500455788514,0.7283500455788514,0.6727438468550593,B,B,B,B,B,B
1111018100,서울,28.214583333333334,0.04875804967801288,0.021159153633854646,0.025758969641214352,0.028518859245630176,0.04875804967801288,D,D,D,D,D,D
1114016200,서울,28.214583333333334,0.4102092050209205,0.46778242677824267,0.2796652719665272,0.2796652719665272,0.4102092050209205,C,C,C,C,C,C
1117013000,서울,27.241666666666667,0.8744588744588745,0.7758537758537759,0.9278499278499278,0.9283309283309283,0.8744588744588745,A,A,A,A,A,A
1123010500,서울,28.214583333333334,0.6073298429319371,0.6095736724008975,0.6955871353777113,0.6896035901271503,0.6073298429319371,B,B,B,B,B,B
1126010100,서울,28.214583333333334,0.2847967036296431,0.4016239471611222,0.13458159122583774,0.1377931285220869,0.2847967036296431,C,C,D,D,C,C
1141011000,서울,27.241666666666667,0.8532351394003156,0.8700683850604944,0.8769068911099421,0.8753287743293003,0.8532351394003156,A,A,A,A,A,A
1144012000,서울,27.241666666666667,0.41904100069492706,0.3785035904563354,0.34514709288858003,0.3486217280518879,0.41904100069492706,C,C,C,C,C,C
1153010900,서울,27.241666666666667,0.21386934673366834,0.07718592964824121,0.046834170854271356,0.22954773869346734,0.21386934673366834,D,D,D,D,D,D
1171010300,서울,28.214583333333334,0.3954954954954955,0.31981981981981983,0.26666666666666666,0.290990990990991,0.3954954954954955,C,C,C,C,C,C
2726010100,지방,234.95208333333332,0.36277056277056274,0.2354978354978355,0.2354978354978355,0.22683982683982684,0.36277056277056274,C,D,D,D,C,C
