legal_code,legal_name,region_group,total_units,frame_population_dongs,frame_screened_dongs,frame_sampling_probability,frame_weight
1120010200,서울특별시 성동구 하왕십리동,서울,16850,467,120,0.2569593147751606,3.8916666666666666
1123010200,서울특별시 동대문구 용두동,서울,16996,467,120,0.2569593147751606,3.8916666666666666
1171010300,서울특별시 송파구 풍납동,서울,18698,467,120,0.2569593147751606,3.8916666666666666
1123010400,서울특별시 동대문구 전농동,서울,20812,467,120,0.2569593147751606,3.8916666666666666
1129010300,서울특별시 성북구 돈암동,서울,24114,467,120,0.2569593147751606,3.8916666666666666
1117012900,서울특별시 용산구 이촌동,서울,25518,467,120,0.2569593147751606,3.8916666666666666
1141012000,서울특별시 서대문구 남가좌동,서울,26348,467,120,0.2569593147751606,3.8916666666666666
1171010900,서울특별시 송파구 장지동,서울,26922,467,120,0.2569593147751606,3.8916666666666666
1126010200,서울특별시 중랑구 상봉동,서울,27507,467,120,0.2569593147751606,3.8916666666666666
1123010500,서울특별시 동대문구 답십리동,서울,30215,467,120,0.2569593147751606,3.8916666666666666
1174010200,서울특별시 강동구 고덕동,서울,30359,467,120,0.2569593147751606,3.8916666666666666
1150010500,서울특별시 강서구 마곡동,서울,32144,467,120,0.2569593147751606,3.8916666666666666
1153010600,서울특별시 구로구 고척동,서울,32182,467,120,0.2569593147751606,3.8916666666666666
1129013400,서울특별시 성북구 길음동,서울,33654,467,120,0.2569593147751606,3.8916666666666666
1114016200,서울특별시 중구 신당동,서울,34170,467,120,0.2569593147751606,3.8916666666666666
1171011100,서울특별시 송파구 방이동,서울,36912,467,120,0.2569593147751606,3.8916666666666666
1174010700,서울특별시 강동구 암사동,서울,39365,467,120,0.2569593147751606,3.8916666666666666
1150010400,서울특별시 강서구 가양동,서울,40138,467,120,0.2569593147751606,3.8916666666666666
1121510300,서울특별시 광진구 구의동,서울,40850,467,120,0.2569593147751606,3.8916666666666666
1132010600,서울특별시 도봉구 방학동,서울,44382,467,120,0.2569593147751606,3.8916666666666666
1132010500,서울특별시 도봉구 쌍문동,서울,49144,467,120,0.2569593147751606,3.8916666666666666
1156013200,서울특별시 영등포구 신길동,서울,50932,467,120,0.2569593147751606,3.8916666666666666
1153010700,서울특별시 구로구 개봉동,서울,56175,467,120,0.2569593147751606,3.8916666666666666
1126010100,서울특별시 중랑구 면목동,서울,61304,467,120,0.2569593147751606,3.8916666666666666
1135010600,서울특별시 노원구 중계동,서울,74058,467,120,0.2569593147751606,3.8916666666666666
1147010300,서울특별시 양천구 신월동,서울,77010,467,120,0.2569593147751606,3.8916666666666666
1132010700,서울특별시 도봉구 창동,서울,77190,467,120,0.2569593147751606,3.8916666666666666
1147010100,서울특별시 양천구 신정동,서울,110864,467,120,0.2569593147751606,3.8916666666666666
1135010500,서울특별시 노원구 상계동,서울,139969,467,120,0.2569593147751606,3.8916666666666666
4155013000,경기도 안성시 신모산동,수도권(경기·인천),100,2280,120,0.05263157894736842,19.0
2872036023,인천광역시 옹진군 영흥면 선재리,수도권(경기·인천),128,2280,120,0.05263157894736842,19.0
4155011500,경기도 안성시 연지동,수도권(경기·인천),130,2280,120,0.05263157894736842,19.0
4145010200,경기도 하남시 하산곡동,수도권(경기·인천),134,2280,120,0.05263157894736842,19.0
4157034021,경기도 김포시 대곶면 대능리,수도권(경기·인천),156,2280,120,0.05263157894736842,19.0
4150010600,경기도 이천시 진리동,수도권(경기·인천),162,2280,120,0.05263157894736842,19.0
4167036021,경기도 여주시 북내면 당우리,수도권(경기·인천),220,2280,120,0.05263157894736842,19.0
4146125323,경기도 용인시 처인구 모현읍 초부리,수도권(경기·인천),308,2280,120,0.05263157894736842,19.0
4148026225,경기도 파주시 조리읍 오산리,수도권(경기·인천),418,2280,120,0.05263157894736842,19.0
2871025023,인천광역시 강화군 강화읍 국화리,수도권(경기·인천),432,2280,120,0.05263157894736842,19.0
4136025625,경기도 남양주시 화도읍 금남리,수도권(경기·인천),450,2280,120,0.05263157894736842,19.0
4161033021,경기도 광주시 도척면 노곡리,수도권(경기·인천),522,2280,120,0.05263157894736842,19.0
4122025322,경기도 평택시 안중읍 학현리,수도권(경기·인천),700,2280,120,0.05263157894736842,19.0
2811012300,인천광역시 중구 신생동,수도권(경기·인천),748,2280,120,0.05263157894736842,19.0
4155038027,경기도 안성시 원곡면 반제리,수도권(경기·인천),788,2280,120,0.05263157894736842,19.0
4128111400,경기도 고양시 덕양구 벽제동,수도권(경기·인천),916,2280,120,0.05263157894736842,19.0
2871025026,인천광역시 강화군 강화읍 용정리,수도권(경기·인천),1090,2280,120,0.05263157894736842,19.0
4111513600,경기도 수원시 팔달구 매산로3가,수도권(경기·인천),1630,2280,120,0.05263157894736842,19.0
4150035025,경기도 이천시 대월면 초지리,수도권(경기·인천),1796,2280,120,0.05263157894736842,19.0
2824511800,인천광역시 계양구 오류동,수도권(경기·인천),2416,2280,120,0.05263157894736842,19.0
4122031030,경기도 평택시 진위면 견산리,수도권(경기·인천),3084,2280,120,0.05263157894736842,19.0
4113110600,경기도 성남시 수정구 양지동,수도권(경기·인천),4052,2280,120,0.05263157894736842,19.0
4159012800,경기도 화성시 석우동,수도권(경기·인천),4142,2280,120,0.05263157894736842,19.0
4139012000,경기도 시흥시 하상동,수도권(경기·인천),4958,2280,120,0.05263157894736842,19.0
4163010900,경기도 양주시 고읍동,수도권(경기·인천),5824,2280,120,0.05263157894736842,19.0
4159012600,경기도 화성시 안녕동,수도권(경기·인천),7192,2280,120,0.05263157894736842,19.0
4155025026,경기도 안성시 공도읍 승두리,수도권(경기·인천),8272,2280,120,0.05263157894736842,19.0
4145011400,경기도 하남시 감일동,수도권(경기·인천),8594,2280,120,0.05263157894736842,19.0
4113313200,경기도 성남시 중원구 중앙동,수도권(경기·인천),9888,2280,120,0.05263157894736842,19.0
4128111100,경기도 고양시 덕양구 삼송동,수도권(경기·인천),9938,2280,120,0.05263157894736842,19.0
4165010400,경기도 포천시 선단동,수도권(경기·인천),9990,2280,120,0.05263157894736842,19.0
4155025031,경기도 안성시 공도읍 진사리,수도권(경기·인천),10884,2280,120,0.05263157894736842,19.0
4122011700,경기도 평택시 합정동,수도권(경기·인천),11296,2280,120,0.05263157894736842,19.0
4163011000,경기도 양주시 덕정동,수도권(경기·인천),12662,2280,120,0.05263157894736842,19.0
4119210400,경기도 부천시 원미구 도당동,수도권(경기·인천),14320,2280,120,0.05263157894736842,19.0
4115011300,경기도 의정부시 산곡동,수도권(경기·인천),14330,2280,120,0.05263157894736842,19.0
4159013000,경기도 화성시 청계동,수도권(경기·인천),16445,2280,120,0.05263157894736842,19.0
4137010700,경기도 오산시 금암동,수도권(경기·인천),16924,2280,120,0.05263157894736842,19.0
4111312900,경기도 수원시 권선구 오목천동,수도권(경기·인천),17050,2280,120,0.05263157894736842,19.0
4128111600,경기도 고양시 덕양구 고양동,수도권(경기·인천),17122,2280,120,0.05263157894736842,19.0
