legal_code,status,legal_name,last_token,region_group,frame_population_dongs,frame_screened_dongs,frame_sampling_probability,frame_weight,total_units,screen_ok,screen_error
1120010200,존재,서울특별시 성동구 하왕십리동,하왕십리동,서울,467,120,0.2569593147751606,3.8916666666666666,16850,True,
1120011500,존재,서울특별시 성동구 성수동2가,성수동2가,서울,467,120,0.2569593147751606,3.8916666666666666,11054,True,
1120012200,존재,서울특별시 성동구 용답동,용답동,서울,467,120,0.2569593147751606,3.8916666666666666,2954,True,
1121510300,존재,서울특별시 광진구 구의동,구의동,서울,467,120,0.2569593147751606,3.8916666666666666,40850,True,
1121510700,존재,서울특별시 광진구 화양동,화양동,서울,467,120,0.2569593147751606,3.8916666666666666,8248,True,
1123010200,존재,서울특별시 동대문구 용두동,용두동,서울,467,120,0.2569593147751606,3.8916666666666666,16996,True,
1123010400,존재,서울특별시 동대문구 전농동,전농동,서울,467,120,0.2569593147751606,3.8916666666666666,20812,True,
1123010500,존재,서울특별시 동대문구 답십리동,답십리동,서울,467,120,0.2569593147751606,3.8916666666666666,30215,True,
1123011000,존재,서울특별시 동대문구 이문동,이문동,서울,467,120,0.2569593147751606,3.8916666666666666,16004,True,
1126010100,존재,서울특별시 중랑구 면목동,면목동,서울,467,120,0.2569593147751606,3.8916666666666666,61304,True,
1126010200,존재,서울특별시 중랑구 상봉동,상봉동,서울,467,120,0.2569593147751606,3.8916666666666666,27507,True,
1129010100,존재,서울특별시 성북구 성북동,성북동,서울,467,120,0.2569593147751606,3.8916666666666666,4042,True,
1129010300,존재,서울특별시 성북구 돈암동,돈암동,서울,467,120,0.2569593147751606,3.8916666666666666,24114,True,
1129010800,존재,서울특별시 성북구 동소문동5가,동소문동5가,서울,467,120,0.2569593147751606,3.8916666666666666,782,True,
1129011600,존재,서울특별시 성북구 동선동1가,동선동1가,서울,467,120,0.2569593147751606,3.8916666666666666,486,True,
1129011900,존재,서울특별시 성북구 동선동4가,동선동4가,서울,467,120,0.2569593147751606,3.8916666666666666,504,True,
